SeqID	genomic_accession	Entrez_Gene_ID	SomaId	Target_Name	Target_longname	UniProt	Organism	Entrez_Gene_Name	Ensembl_Gene_ID	HGNC_ID	seq_type	CHR_protein	coding_region_start	coding_region_end	STRAND	SOURCE	NOTES
23339-46	NC_000008.11	100129654.0	SL023780	TCF24	Transcription factor 24	Q7RTU0	Human	TCF24	ENSG00000261787	HGNC:32275	chromosome	8	66946501.0	66962591.0	-	NCBI	
25059-18	NC_000023.11	10013.0	SL023202	HDAC6	Histone deacetylase 6	Q9UBN7	Human	HDAC6	ENSG00000094631	HGNC:14064	chromosome	23	48801398.0	48824982.0	+	NCBI	
23519-91	NC_000019.10	100130519.0	SL023785	TM221	Transmembrane protein 221	A6NGB7	Human	TMEM221	ENSG00000188051	HGNC:21943	chromosome	19	17435509.0	17448668.0	-	NCBI	
24412-1	NC_000016.10	100130958.0	SL023740	SYC1L	Synaptonemal complex central element protein 1-like	A8MT33	Human	SYCE1L	ENSG00000205078	HGNC:37236	chromosome	16	77199408.0	77213215.0	+	NCBI	
19277-4	NC_000001.11	100131187.0	SL013211	KAT	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1	Q8NFU3	Human	TSTD1	ENSG00000215845	HGNC:35410	chromosome	1	161037631.0	161038964.0	-	NCBI	
23424-4	NC_000015.10	100131244.0	SL023786	ANR63	Ankyrin repeat domain-containing protein 63	C9JTQ0	Human	ANKRD63	ENSG00000230778	HGNC:40027	chromosome	15	40278372.0	40283064.0	-	NCBI	
10428-1	NT_113949.2	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	122955.0	137288.0	-	NCBI	
10428-1	NT_187668.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	150766.0	165100.0	-	NCBI	
10428-1	NT_187677.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	29469.0	43805.0	+	NCBI	
10428-1	NT_187675.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	37026.0	51360.0	+	NCBI	
10428-1	NT_187686.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	161263.0	175597.0	-	NCBI	
10428-1	NW_003571061.2	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	464529.0	478864.0	+	NCBI	
10428-1	NT_187636.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	194387.0	208721.0	-	NCBI	
10428-1	NT_187644.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	130021.0	144356.0	-	NCBI	
10428-1	NW_016107312.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	novel patch	19	124734.0	139068.0	-	NCBI	
10428-1	NT_187638.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	102583.0	116917.0	-	NCBI	
10428-1	NT_187670.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	130109.0	144444.0	-	NCBI	
10428-1	NT_187642.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	101103.0	115438.0	-	NCBI	
10428-1	NT_187640.1	100132285.0	SL018045	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	P43631	Human	KIR2DS2	ENSG00000275452|ENSG00000277885|ENSG00000278300	HGNC:6334	alternate scaffold	19	149814.0	164148.0	-	NCBI	
8888-33	NC_000023.11	100132963.0	SL018720	CX068	Small integral membrane protein 9	A6NGZ8	Human	SMIM9	ENSG00000203870	HGNC:41915	chromosome	23	154823348.0	154834662.0	-	NCBI	
20443-37	NC_000017.11	100134934.0	SL022254	TEN1L	CST complex subunit TEN1	Q86WV5	Human	TEN1	ENSG00000257949	HGNC:37242	chromosome	17	75979240.0	76000586.0	+	NCBI	
6633-43	NC_000007.14	100134938.0	SL017508	UPK3L	Uroplakin-3b-like protein	B0FP48	Human	UPK3BL1	ENSG00000267368	HGNC:37278	chromosome	7	102637025.0	102642791.0	-	NCBI	
18174-79	NC_000003.12	10015.0	SL008888	PDC6I	Programmed cell death 6-interacting protein	Q8WUM4	Human	PDCD6IP	ENSG00000170248	HGNC:8766	chromosome	3	33798630.0	33869703.0	+	NCBI	
19488-1	NC_000005.10	10016.0	SL007980	PDCD6	Programmed cell death protein 6	O75340	Human	PDCD6	ENSG00000249915	HGNC:8765	chromosome	5	271646.0	314974.0	+	NCBI	
7249-37	NC_000015.10	10017.0	SL007682	B2L10	Bcl-2-like protein 10	Q9HD36	Human	BCL2L10	ENSG00000137875	HGNC:993	chromosome	15	52109263.0	52112775.0	-	NCBI	
7249-307	NC_000015.10	10017.0	SL007682	B2L10	Bcl-2-like protein 10	Q9HD36	Human	BCL2L10	ENSG00000137875	HGNC:993	chromosome	15	52109263.0	52112775.0	-	NCBI	
17451-13	NC_000002.12	10018.0	SL003706	BIM	Bcl-2-like protein 11	O43521	Human	BCL2L11	ENSG00000153094	HGNC:994	chromosome	2	111120914.0	111168445.0	+	NCBI	
22019-21	NC_000012.12	10019.0	SL022542	SH2B3	SH2B adapter protein 3	Q9UQQ2	Human	SH2B3	ENSG00000111252	HGNC:29605	chromosome	12	111404730.0	111451623.0	+	NCBI	
20589-5	NC_000020.11	1002.0	SL007293	CADH4	Cadherin-4	P55283	Human	CDH4	ENSG00000179242	HGNC:1763	chromosome	20	61252261.0	61940617.0	+	NCBI	
20589-5	NT_187623.1	1002.0	SL007293	CADH4	Cadherin-4	P55283	Human	CDH4	ENSG00000179242	HGNC:1763	alternate scaffold	20	8603.0	54269.0	+	NCBI	
21739-7	NC_000009.12	10020.0	SL022692	GLCNE	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Human	GNE	ENSG00000159921	HGNC:23657	chromosome	9	36214441.0	36276978.0	-	NCBI	
10462-14	NC_000001.11	10022.0	SL012880	INSL5	Insulin-like peptide INSL5	Q9Y5Q6	Human	INSL5	ENSG00000172410	HGNC:6088	chromosome	1	66797740.0	66801276.0	-	NCBI	
21133-33	NC_000023.11	100272147.0	SL021986	CMC4	Cx9C motif-containing protein 4	P56277	Human	CMC4	ENSG00000182712	HGNC:35428	chromosome	23	155061622.0	155071136.0	-	NCBI	
9578-263	NC_000012.12	100287284.0	SL019041	MANS4	MANSC domain-containing protein 4	A6NHS7	Human	MANSC4	ENSG00000205693	HGNC:40023	chromosome	12	27762427.0	27780236.0	-	NCBI	
22809-32	NC_000010.11	100287932.0	SL022933	TIM23	Mitochondrial import inner membrane translocase subunit Tim23	O14925	Human	TIMM23	ENSG00000265354	HGNC:17312	chromosome	10	45972489.0	46003742.0	+	NCBI	
24479-25	NC_000007.14	100289187.0	SL023784	T225B	Transmembrane protein 225B	P0DP42	Human	TMEM225B	ENSG00000244219	HGNC:53075	chromosome	7	99598058.0	99611045.0	+	NCBI	
13397-88	NC_000008.11	100289462.0	SL004533	HBD-2	Beta-defensin 4A	O15263	Human	DEFB4A	ENSG00000285181|ENSG00000177257|ENSG00000285433|ENSG00000171711|ENSG00000275444	HGNC:2767	chromosome	8	7414855.0	7416863.0	-	NCBI	
13397-88	NW_018654717.1	100289462.0	SL004533	HBD-2	Beta-defensin 4A	O15263	Human	DEFB4A	ENSG00000285181|ENSG00000177257|ENSG00000285433|ENSG00000171711|ENSG00000275444	HGNC:2767	fix patch	8	5491964.0	5493999.0	+	NCBI	
13397-88	NT_187570.1	100289462.0	SL004533	HBD-2	Beta-defensin 4A	O15263	Human	DEFB4A	ENSG00000285181|ENSG00000177257|ENSG00000285433|ENSG00000171711|ENSG00000275444	HGNC:2767	alternate scaffold	8	97908.0	99936.0	-	NCBI	
2819-23	NC_000016.10	1003.0	SL002081	Cadherin-5	Cadherin-5	P33151	Human	CDH5	ENSG00000179776	HGNC:1764	chromosome	16	66366691.0	66404784.0	+	NCBI	
17696-1	NC_000005.10	100302736.0	SL004508	TIRP	TIR domain-containing adapter molecule 2	Q86XR7	Human	TICAM2	ENSG00000243414	HGNC:21354	chromosome	5	115578496.0	115626036.0	-	NCBI	
19303-64	NC_000020.11	100303755.0	SL020942	PT117	Protein PET117 homolog, mitochondrial	Q6UWS5	Human	PET117	ENSG00000232838	HGNC:40045	chromosome	20	18137863.0	18143169.0	+	NCBI	
16312-45	NC_000005.10	1004.0	SL004865	Cadherin-6	Cadherin-6	P55285	Human	CDH6	ENSG00000113361	HGNC:1765	chromosome	5	31193686.0	31329146.0	+	NCBI	
3591-51	NC_000005.10	1004.0	SL004865	Cadherin-6	Cadherin-6	P55285	Human	CDH6	ENSG00000113361	HGNC:1765	chromosome	5	31193686.0	31329146.0	+	NCBI	
13652-2	NC_000017.11	10040.0	SL020197	TM1L1	TOM1-like protein 1	O75674	Human	TOM1L1	ENSG00000141198	HGNC:11983	chromosome	17	54900852.0	54961956.0	+	NCBI	
25492-7	NC_000022.11	10043.0	SL019565	TOM1	Target of Myb protein 1	O60784	Human	TOM1	ENSG00000100284	HGNC:11982	chromosome	22	35299275.0	35347973.0	+	NCBI	
12704-26	NC_000009.12	10044.0	SL009388	SH2D3	SH2 domain-containing protein 3C	Q8N5H7	Human	SH2D3C	ENSG00000095370	HGNC:16884	chromosome	9	127738317.0	127778666.0	-	NCBI	
10572-65	NC_000020.11	10047.0	SL012372	CST8	Cystatin-8	O60676	Human	CST8	ENSG00000125815	HGNC:2480	chromosome	20	23491117.0	23507124.0	+	NCBI	
11606-22	NC_000007.14	10049.0	SL019538	DNJB6	DnaJ homolog subfamily B member 6	O75190	Human	DNAJB6	ENSG00000105993	HGNC:14888	chromosome	7	157337004.0	157417439.0	+	NCBI	
7959-34	NC_000018.10	1005.0	SL007764	CADH7	Cadherin-7	Q9ULB5	Human	CDH7	ENSG00000081138	HGNC:1766	chromosome	18	65750252.0	65890337.0	+	NCBI	
24263-6	NC_000005.10	100506658.0	SL023157	OCLN	Occludin	Q16625	Human	OCLN	ENSG00000197822	HGNC:8104	chromosome	5	69492547.0	69558104.0	+	NCBI	
24263-6	NW_025791777.1	100506658.0	SL023157	OCLN	Occludin	Q16625	Human	OCLN	ENSG00000197822	HGNC:8104	fix patch	5	157946.0	224819.0	+	NCBI	
24263-6	NW_003315917.2	100506658.0	SL023157	OCLN	Occludin	Q16625	Human	OCLN	ENSG00000197822	HGNC:8104	alternate scaffold	5	274283.0	341052.0	+	NCBI	
23522-1	NC_000004.12	100507096.0	SL023782	GIMD1	GTPase IMAP family member GIMD1	P0DJR0	Human	GIMD1	ENSG00000250298	HGNC:44141	chromosome	4	106357392.0	106368778.0	-	NCBI	
2730-58	NT_113891.3	100507436.0	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	Human	MICA	ENSG00000235233|ENSG00000183214	HGNC:7090	alternate scaffold	6	2881078.0	2895686.0	+	NCBI	
2730-58	NC_000006.12	100507436.0	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	Human	MICA	ENSG00000235233|ENSG00000183214	HGNC:7090	chromosome	6	31400711.0	31415315.0	+	NCBI	
2730-58	NT_167246.2	100507436.0	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	Human	MICA	ENSG00000235233|ENSG00000183214	HGNC:7090	alternate scaffold	6	2709304.0	2723902.0	+	NCBI	
2730-58	NT_167248.2	100507436.0	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	Human	MICA	ENSG00000235233|ENSG00000183214	HGNC:7090	alternate scaffold	6	2659222.0	2671040.0	+	NCBI	
2730-58	NT_167249.2	100507436.0	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	Human	MICA	ENSG00000235233|ENSG00000183214	HGNC:7090	alternate scaffold	6	2702988.0	2717592.0	+	NCBI	
16620-26	NC_000002.12	100526664.0	SL007021	LY75	Lymphocyte antigen 75	O60449	Human	LY75		HGNC:6729	chromosome	2	159768628.0	159904756.0	-	NCBI	
15641-20	NC_000009.12	100526694.0	SL020463	TEFF1	Tomoregulin-1	Q8IYR6	Human	TMEFF1	ENSG00000241697	HGNC:11866	chromosome	9	100441906.0	100577636.0	+	NCBI	
12508-9	NC_000002.12	100526767.0	SL008756	CHMP3	Charged multivesicular body protein 3	Q9Y3E7	Human	CHMP3	ENSG00000115561	HGNC:29865	chromosome	2	86503430.0	86721122.0	-	NCBI	
23306-37	NC_000001.11	100527963.0	SL023522	PMF1	Polyamine-modulated factor 1	Q6P1K2	Human	PMF1	ENSG00000160783	HGNC:9112	chromosome	1	156212988.0	156243332.0	+	NCBI	
21722-21	NC_000012.12	100528030.0	SL015072	GALT4	Polypeptide N-acetylgalactosaminyltransferase 4	Q8N4A0	Human	GALNT4	ENSG00000257594	HGNC:4126	chromosome	12	89519412.0	89526262.0	-	NCBI	
14095-1	NC_000012.12	100528032.0	SL005204	NKG2D	NKG2-D type II integral membrane protein	P26718	Human	KLRK1	ENSG00000213809	HGNC:18788	chromosome	12	10372353.0	10410146.0	-	NCBI	
3056-11	NC_000012.12	100528032.0	SL005204	NKG2D	NKG2-D type II integral membrane protein	P26718	Human	KLRK1	ENSG00000213809	HGNC:18788	chromosome	12	10372353.0	10410146.0	-	NCBI	
22085-86	NC_000010.11	100532731.0	SL004776	BMI-1	Polycomb complex protein BMI-1	P35226	Human	BMI1	ENSG00000168283	HGNC:1066	chromosome	10	22316388.0	22331484.0	+	NCBI	
2944-66	NC_000001.11	100532736.0	SL005156	DAN	Neuroblastoma suppressor of tumorigenicity 1	P41271	Human	NBL1	ENSG00000158747	HGNC:7650	chromosome	1	19596979.0	19658452.0	+	NCBI	
10042-8	NC_000008.11	100533105.0	SL015131	SGK3	Serine/threonine-protein kinase Sgk3	Q96BR1	Human	SGK3	ENSG00000104205	HGNC:10812	chromosome	8	66667596.0	66862022.0	+	NCBI	
18192-69	NC_000023.11	100533997.0	SL011948	MAGE-5	Melanoma-associated antigen 5	P43359	Human	MAGEA5		HGNC:6803	chromosome	23	152114049.0	152138577.0	-	NCBI	
12500-88	NW_025791809.1	10054.0	SL019730	SAE2	SUMO-activating enzyme subunit 2	Q9UBT2	Human	UBA2	ENSG00000126261	HGNC:30661	fix patch	19	93401.0	136271.0	+	NCBI	
12500-88	NC_000019.10	10054.0	SL019730	SAE2	SUMO-activating enzyme subunit 2	Q9UBT2	Human	UBA2	ENSG00000126261	HGNC:30661	chromosome	19	34428381.0	34471251.0	+	NCBI	
21452-3	NC_000012.12	10059.0	SL011156	DNM1L	Dynamin-1-like protein	O00429	Human	DNM1L	ENSG00000087470	HGNC:2973	chromosome	12	32679301.0	32745650.0	+	NCBI	
16021-30	NC_000016.10	1006.0	SL006909	Cadherin-8	Cadherin-8	P55286	Human	CDH8	ENSG00000150394	HGNC:1767	chromosome	16	61647250.0	62036438.0	-	NCBI	
22378-2	NW_003315953.2	100653049.0	SL006625	Keratin 34	Keratin 34	O76011	Human	KRT34	ENSG00000131737	HGNC:6452	alternate scaffold	17	49141.0	55289.0	+	NCBI	
3073-51	NC_000011.10	10068.0	SL002508	IL-18 BPa	Interleukin-18-binding protein	O95998	Human	IL18BP	ENSG00000137496	HGNC:5987	chromosome	11	71998909.0	72008200.0	+	NCBI	
17765-3	NC_000015.10	10073.0	SL020983	SPN1	Snurportin-1	O95149	Human	SNUPN	ENSG00000169371	HGNC:14245	chromosome	15	75598086.0	75626461.0	-	NCBI	
8337-65	NC_000001.11	10076.0	SL018463	PTPRU	Receptor-type tyrosine-protein phosphatase U	Q92729	Human	PTPRU	ENSG00000060656	HGNC:9683	chromosome	1	29236522.0	29326800.0	+	NCBI	
18181-2	NC_000011.10	10078.0	SL021024	TSSC4	Protein TSSC4	Q9Y5U2	Human	TSSC4	ENSG00000184281	HGNC:12386	chromosome	11	2400750.0	2403876.0	+	NCBI	
20529-7	NC_000005.10	1008.0	SL007799	CAD10	Cadherin-10	Q9Y6N8	Human	CDH10	ENSG00000040731	HGNC:1749	chromosome	5	24487100.0	24644978.0	-	NCBI	
5350-14	NC_000013.11	10082.0	SL012881	GPC6	Glypican-6	Q9Y625	Human	GPC6	ENSG00000183098	HGNC:4454	chromosome	13	93216529.0	94408020.0	+	NCBI	
13924-13	NC_000015.10	100820829.0	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Human	MYZAP	ENSG00000263155	HGNC:43444	chromosome	15	57591904.0	57685364.0	+	NCBI	
9055-81	NC_000015.10	100820829.0	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Human	MYZAP	ENSG00000263155	HGNC:43444	chromosome	15	57591904.0	57685364.0	+	NCBI	
9964-10	NC_000015.10	100820829.0	SL018834	MYZAP	Myocardial zonula adherens protein	P0CAP1	Human	MYZAP	ENSG00000263155	HGNC:43444	chromosome	15	57591904.0	57685364.0	+	NCBI	
17725-37	NC_000011.10	10083.0	SL013885	USH1C	Harmonin	Q9Y6N9	Human	USH1C	ENSG00000006611	HGNC:12597	chromosome	11	17493900.0	17544416.0	-	NCBI	
11432-11	NC_000023.11	10084.0	SL019453	PQBP1	Polyglutamine-binding protein 1	O60828	Human	PQBP1	ENSG00000102103	HGNC:9330	chromosome	23	48897930.0	48903143.0	+	NCBI	
11432-11	NW_025791820.1	10084.0	SL019453	PQBP1	Polyglutamine-binding protein 1	O60828	Human	PQBP1	ENSG00000102103	HGNC:9330	novel patch	23	56765.0	61978.0	+	NCBI	
9360-33	NC_000005.10	10085.0	SL012367	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	O43854	Human	EDIL3	ENSG00000164176	HGNC:3173	chromosome	5	83940554.0	84384880.0	-	NCBI	
13535-2	NC_000005.10	10087.0	SL025805	C43BP:PH domain	Collagen type IV alpha-3-binding protein:PH domain	Q9Y5P4	Human	CERT1	ENSG00000113163	HGNC:2205	chromosome	5	75368486.0	75511981.0	-	NCBI	
13950-9	NC_000005.10	10087.0	SL025806	C43BP:START domain	Collagen type IV alpha-3-binding protein:StAR-related lipid-transfer domain, isoform 2	Q9Y5P4	Human	CERT1	ENSG00000113163	HGNC:2205	chromosome	5	75368486.0	75511981.0	-	NCBI	
21535-5	NC_000017.11	100885850.0	SL022505	AASD1	Alanyl-tRNA editing protein Aarsd1	Q9BTE6	Human	AARSD1	ENSG00000266967|ENSG00000108825	HGNC:28417	chromosome	17	42950526.0	42980528.0	-	NCBI	
7763-25	NC_000016.10	1009.0	SL025809	Cadherin-11:CD	Cadherin-11:Cytoplasmic domain	P55287	Human	CDH11	ENSG00000140937	HGNC:1750	chromosome	16	64943753.0	65123744.0	-	NCBI	
16305-10	NC_000016.10	1009.0	SL025810	Cadherin-11:ECD	Cadherin-11:Extracellular domain	P55287	Human	CDH11	ENSG00000140937	HGNC:1750	chromosome	16	64943753.0	65123744.0	-	NCBI	
9604-14	NC_000016.10	1009.0	SL025810	Cadherin-11:ECD	Cadherin-11:Extracellular domain	P55287	Human	CDH11	ENSG00000140937	HGNC:1750	chromosome	16	64943753.0	65123744.0	-	NCBI	
8364-74	NC_000006.12	10090.0	SL006797	UST	Uronyl 2-sulfotransferase	Q9Y2C2	Human	UST	ENSG00000111962	HGNC:17223	chromosome	6	148747030.0	149076990.0	+	NCBI	
18419-20	NC_000001.11	10092.0	SL004614	p16-ARC	Actin-related protein 2/3 complex subunit 5	O15511	Human	ARPC5	ENSG00000162704	HGNC:708	chromosome	1	183620846.0	183635783.0	-	NCBI	
13573-5	NC_000012.12	10094.0	SL004616	p21-ARC	Actin-related protein 2/3 complex subunit 3	O15145	Human	ARPC3	ENSG00000111229	HGNC:706	chromosome	12	110434823.0	110450337.0	-	NCBI	
12689-56	NC_000007.14	10095.0	SL011157	ARC1B	Actin-related protein 2/3 complex subunit 1B	O15143	Human	ARPC1B	ENSG00000130429	HGNC:704	chromosome	7	99374259.0	99394816.0	+	NCBI	
21440-9	NC_000010.11	101.0	SL010608	ADAM-8	ADAM 8	P78325	Human	ADAM8	ENSG00000151651	HGNC:215	chromosome	10	133262423.0	133276868.0	-	NCBI	
8329-166	NC_000005.10	1010.0	SL025811	Cadherin-12:CD	Cadherin-12:Cytoplasmic domain	P55289	Human	CDH12	ENSG00000154162	HGNC:1751	chromosome	5	21750673.0	22853344.0	-	NCBI	
19388-2	NC_000005.10	1010.0	SL025812	Cadherin-12:ECD	Cadherin-12:Extracellular domain	P55289	Human	CDH12	ENSG00000154162	HGNC:1751	chromosome	5	21750673.0	22853344.0	-	NCBI	
21863-11	NC_000016.10	10101.0	SL022147	NUBP2	Cytosolic Fe-S cluster assembly factor NUBP2	Q9Y5Y2	Human	NUBP2	ENSG00000095906	HGNC:8042	chromosome	16	1782960.0	1789186.0	+	NCBI	
8095-213	NC_000010.11	10105.0	SL005793	Cyclophilin F	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405	Human	PPIF	ENSG00000108179	HGNC:9259	chromosome	10	79347469.0	79355334.0	+	NCBI	
5248-68	NC_000010.11	10105.0	SL005793	Cyclophilin F	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405	Human	PPIF	ENSG00000108179	HGNC:9259	chromosome	10	79347469.0	79355334.0	+	NCBI	
23376-56	NC_000002.12	10109.0	SL011158	ARPC2	Actin-related protein 2/3 complex subunit 2	O15144	Human	ARPC2	ENSG00000163466	HGNC:705	chromosome	2	218217189.0	218254348.0	+	NCBI	
